iid,iid_clean,gender,wave,round,position,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,undergra,race,imprace,imprelig,from,zipcode,goal,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,satis_2,length,numdat_2,you_call,them_cal,date_3,numdat_3,num_in_3
1,1.1,0,1,10,7,11,0,0.14,0,27,2,35,20,20,20,0,5,0,6,8,8,8,8,6,7,4,2,21,Law,1,,4,2,4,Chicago,"60,521",2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,1,6,9,7,7,6,5,7,6,2,6,2,1,1,1,0,,
1,1.1,0,1,10,7,12,0,0.54,0,22,2,60,0,0,40,0,0,0,7,8,10,7,7,5,8,4,2,21,Law,1,,4,2,4,Chicago,"60,521",2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,1,7,8,7,8,5,6,7,5,1,6,2,1,1,1,0,,
1,1.1,0,1,10,7,13,1,0.16,1,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,21,Law,1,,4,2,4,Chicago,"60,521",2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,1,5,8,9,8,5,7,7,,1,6,2,1,1,1,0,,
1,1.1,0,1,10,7,14,1,0.61,0,23,2,30,5,15,40,5,5,1,7,8,9,8,9,8,7,7,2,21,Law,1,,4,2,4,Chicago,"60,521",2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,1,7,6,8,7,6,8,7,6,2,6,2,1,1,1,0,,
1,1.1,0,1,10,7,15,1,0.21,0,24,3,30,10,20,10,10,20,1,8,7,9,6,9,7,8,6,2,21,Law,1,,4,2,4,Chicago,"60,521",2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,1,5,6,7,7,6,6,6,6,2,6,2,1,1,1,0,,
1,1.1,0,1,10,7,16,0,0.25,0,25,2,50,0,30,10,0,10,1,7,7,8,8,7,7,7,6,2,21,Law,1,,4,2,4,Chicago,"60,521",2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,0,4,9,7,4,6,4,6,5,2,6,2,1,1,1,0,,
1,1.1,0,1,10,7,17,0,0.34,0,30,2,35,15,25,10,5,10,0,3,6,7,5,8,7,2,1,2,21,Law,1,,4,2,4,Chicago,"60,521",2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,1,7,6,7,4,6,7,6,5,2,6,2,1,1,1,0,,
1,1.1,0,1,10,7,18,0,0.5,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,5,6,8,6,7,5,2,21,Law,1,,4,2,4,Chicago,"60,521",2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,0,4,9,7,6,5,6,6,7,,6,2,1,1,1,0,,
1,1.1,0,1,10,7,19,1,0.28,0,28,2,50,0,25,10,0,15,1,7,7,8,8,8,9,6.5,8,2,21,Law,1,,4,2,4,Chicago,"60,521",2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,1,7,6,8,9,8,8,7,7,2,6,2,1,1,1,0,,
1,1.1,0,1,10,7,20,0,-0.36,0,24,2,100,0,0,0,0,0,0,6,6,6,6,6,6,6,6,2,21,Law,1,,4,2,4,Chicago,"60,521",2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,1,5,6,6,8,10,8,6,6,2,6,2,1,1,1,0,,
